City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
332,Grande Prairie,CA,55.1667,-118.8027,48.45,72,100,21.09,overcast clouds
333,Milan,IT,45.4643,9.1895,47.26,88,75,1.99,mist
334,Dukat,RU,62.55,155.55,-13.77,82,62,3.56,broken clouds
335,Ampanihy,MG,-24.7,44.75,73.38,80,16,6.55,few clouds
336,Ritchie,ZA,-29.038,24.6028,63.61,30,15,4.23,few clouds
337,Fukuma,JP,33.7667,130.4667,51.8,68,100,9.31,overcast clouds
338,Esso,RU,55.9333,158.7,13.15,93,17,1.16,few clouds
339,Damoh,IN,23.8333,79.45,64.17,62,4,8.39,clear sky
340,Terra Santa,BR,-2.1042,-56.4869,72.93,97,100,1.16,overcast clouds
341,Luganville,VU,-15.5333,167.1667,84.65,71,100,5.66,overcast clouds
342,Talaya,RU,61.3833,152.75,-16.56,84,82,1.32,broken clouds
343,Svetlaya,RU,46.5389,138.3297,23.92,55,14,3.0,few clouds
344,Sibolga,ID,1.7427,98.7792,76.41,85,100,3.78,overcast clouds
345,Bismarck,US,46.8083,-100.7837,30.04,90,0,9.22,clear sky
346,Lumby,CA,50.2498,-118.969,36.73,94,99,2.3,overcast clouds
347,Zyryanka,RU,65.75,150.85,-24.16,89,80,4.16,broken clouds
348,Marawi,PH,7.9986,124.2928,70.65,67,100,5.77,overcast clouds
